iter	Passed	Remaining
0	38	15266
1	74	14889
2	114	15130
3	153	15170
4	190	15074
5	228	14988
6	265	14885
7	303	14891
8	341	14842
9	381	14860
10	419	14851
11	458	14831
12	498	14841
13	536	14790
14	580	14899
15	625	15004
16	668	15068
17	712	15112
18	757	15189
19	799	15194
20	845	15259
21	889	15277
22	932	15277
23	977	15307
24	1020	15307
25	1067	15352
26	1110	15347
27	1156	15362
28	1196	15305
29	1235	15241
30	1273	15164
31	1313	15109
32	1350	15014
33	1387	14936
34	1428	14895
35	1472	14888
36	1518	14898
37	1565	14916
38	1611	14918
39	1659	14933
40	1703	14915
41	1747	14892
42	1792	14883
43	1837	14864
44	1882	14850
45	1928	14838
46	1972	14812
47	2016	14785
48	2064	14790
49	2110	14770
50	2155	14753
51	2201	14735
52	2247	14716
53	2292	14687
54	2337	14660
55	2382	14633
56	2426	14602
57	2470	14567
58	2516	14544
59	2560	14510
60	2601	14455
61	2640	14397
62	2679	14334
63	2721	14287
64	2759	14224
65	2799	14168
66	2839	14112
67	2879	14056
68	2916	13992
69	2956	13938
70	2995	13878
71	3033	13819
72	3072	13764
73	3111	13706
74	3150	13652
75	3187	13590
76	3225	13531
77	3263	13472
78	3301	13416
79	3340	13361
80	3377	13303
81	3416	13248
82	3455	13197
83	3492	13137
84	3530	13085
85	3574	13051
86	3612	12996
87	3652	12949
88	3693	12905
89	3732	12855
90	3770	12804
91	3807	12746
92	3846	12696
93	3883	12642
94	3921	12588
95	3958	12536
96	3996	12484
97	4034	12433
98	4075	12390
99	4113	12341
100	4152	12294
101	4192	12249
102	4232	12205
103	4270	12153
104	4309	12107
105	4346	12055
106	4384	12007
107	4422	11958
108	4463	11915
109	4501	11867
110	4539	11818
111	4579	11776
112	4617	11728
113	4656	11681
114	4695	11635
115	4733	11588
116	4771	11542
117	4809	11492
118	4849	11451
119	4885	11400
120	4923	11352
121	4961	11305
122	4998	11257
123	5036	11210
124	5076	11167
125	5113	11119
126	5149	11068
127	5188	11026
128	5227	10980
129	5266	10937
130	5305	10893
131	5340	10843
132	5377	10794
133	5415	10749
134	5452	10704
135	5491	10660
136	5529	10614
137	5568	10572
138	5609	10533
139	5648	10489
140	5688	10448
141	5728	10407
142	5765	10362
143	5803	10317
144	5839	10269
145	5878	10226
146	5916	10183
147	5954	10139
148	5993	10096
149	6030	10051
150	6074	10016
151	6110	9970
152	6148	9926
153	6187	9884
154	6228	9844
155	6267	9803
156	6305	9760
157	6341	9713
158	6381	9672
159	6443	9665
160	6483	9624
161	6519	9577
162	6558	9536
163	6597	9493
164	6635	9450
165	6672	9406
166	6711	9363
167	6747	9318
168	6787	9277
169	6824	9233
170	6864	9192
171	6902	9149
172	6942	9109
173	6979	9065
174	7017	9022
175	7054	8978
176	7093	8937
177	7133	8896
178	7171	8854
179	7210	8812
180	7249	8770
181	7288	8729
182	7327	8688
183	7366	8647
184	7405	8606
185	7442	8562
186	7481	8521
187	7526	8487
188	7567	8448
189	7606	8407
190	7644	8364
191	7681	8321
192	7720	8280
193	7757	8237
194	7794	8193
195	7831	8150
196	7870	8110
197	7909	8068
198	7944	8024
199	7982	7982
200	8020	7941
201	8058	7898
202	8097	7858
203	8135	7816
204	8173	7774
205	8212	7734
206	8251	7693
207	8289	7652
208	8327	7609
209	8364	7567
210	8400	7524
211	8439	7484
212	8477	7442
213	8514	7400
214	8553	7360
215	8592	7319
216	8636	7283
217	8674	7241
218	8711	7200
219	8752	7161
220	8791	7120
221	8827	7077
222	8866	7037
223	8905	6996
224	8942	6955
225	8979	6913
226	9015	6870
227	9053	6829
228	9092	6789
229	9129	6747
230	9167	6706
231	9205	6665
232	9243	6625
233	9281	6584
234	9320	6544
235	9357	6502
236	9393	6460
237	9431	6419
238	9468	6378
239	9507	6338
240	9546	6298
241	9585	6258
242	9622	6216
243	9660	6176
244	9699	6136
245	9739	6096
246	9777	6056
247	9815	6015
248	9853	5975
249	9896	5937
250	9942	5902
251	9981	5862
252	10019	5821
253	10058	5781
254	10097	5741
255	10133	5700
256	10173	5660
257	10210	5619
258	10249	5579
259	10286	5538
260	10324	5498
261	10360	5457
262	10398	5416
263	10435	5375
264	10474	5336
265	10513	5296
266	10551	5255
267	10589	5215
268	10627	5175
269	10665	5135
270	10701	5094
271	10742	5055
272	10781	5015
273	10819	4975
274	10858	4935
275	10896	4895
276	10935	4855
277	10973	4815
278	11009	4774
279	11048	4734
280	11087	4695
281	11124	4655
282	11160	4614
283	11198	4574
284	11235	4533
285	11273	4493
286	11312	4453
287	11350	4414
288	11388	4374
289	11426	4334
290	11463	4293
291	11501	4253
292	11538	4213
293	11576	4173
294	11614	4133
295	11650	4093
296	11685	4052
297	11722	4012
298	11762	3973
299	11802	3934
300	11838	3893
