iter	Passed	Remaining
0	27	13819
1	58	14620
2	82	13604
3	107	13268
4	129	12797
5	155	12792
6	177	12501
7	213	13137
8	238	13015
9	260	12782
10	283	12581
11	307	12507
12	331	12431
13	355	12323
14	378	12242
15	401	12152
16	426	12120
17	449	12029
18	473	11997
19	496	11911
20	520	11875
21	543	11811
22	565	11732
23	590	11720
24	614	11678
25	639	11667
26	663	11618
27	688	11599
28	713	11584
29	742	11632
30	764	11573
31	789	11539
32	859	12163
33	1207	16553
34	1291	17162
35	1318	16997
36	1353	16935
37	1380	16785
38	1406	16626
39	1432	16474
40	1456	16308
41	1483	16180
42	1509	16046
43	1536	15924
44	1559	15771
45	1586	15658
46	1611	15530
47	1639	15438
48	1664	15322
49	1695	15256
50	1719	15136
51	1744	15027
52	1771	14938
53	1798	14852
54	1824	14762
55	1849	14661
56	1875	14576
57	1900	14481
58	1924	14388
59	1949	14295
60	1973	14199
61	1998	14119
62	2022	14031
63	2053	13989
64	2076	13896
65	2102	13825
66	2126	13740
67	2150	13663
68	2175	13591
69	2201	13523
70	2225	13445
71	2252	13387
72	2278	13326
73	2301	13251
74	2325	13178
75	2350	13110
76	2372	13033
77	2400	12984
78	2423	12917
79	2450	12863
80	2473	12795
81	2497	12732
82	2522	12671
83	2547	12615
84	2571	12554
85	2596	12497
86	2620	12438
87	2644	12383
88	2668	12324
89	2692	12266
90	2715	12203
91	2738	12143
92	2762	12090
93	2786	12035
94	2813	11993
95	2849	11990
96	2872	11934
97	2897	11884
98	2921	11832
99	2945	11781
100	2968	11728
101	2991	11672
102	3015	11623
103	3040	11577
104	3065	11533
105	3089	11484
106	3113	11434
107	3135	11382
108	3161	11342
109	3185	11294
110	3212	11258
111	3240	11226
112	3264	11179
113	3290	11140
114	3315	11099
115	3339	11056
116	3361	11005
117	3386	10963
118	3411	10921
119	3433	10874
120	3458	10833
121	3483	10793
122	3511	10764
123	3533	10715
124	3557	10673
125	3581	10630
126	3604	10585
127	3626	10539
128	3652	10503
129	3675	10461
130	3698	10418
131	3723	10381
132	3745	10334
133	3766	10288
134	3792	10253
135	3815	10210
136	3846	10192
137	3872	10157
138	3894	10115
139	3918	10076
140	3943	10040
141	3969	10008
142	3994	9971
143	4015	9928
144	4037	9885
145	4057	9838
146	4078	9792
147	4096	9741
148	4114	9692
149	4135	9650
150	4155	9604
151	4177	9564
152	4197	9519
153	4220	9482
154	4240	9439
155	4258	9390
156	4276	9342
157	4296	9299
158	4315	9255
159	4341	9226
160	4362	9184
161	4383	9146
162	4403	9104
163	4422	9060
164	4442	9019
165	4461	8976
166	4481	8935
167	4499	8892
168	4518	8849
169	4536	8805
170	4554	8761
171	4573	8721
172	4592	8680
173	4610	8637
174	4628	8594
175	4647	8554
176	4665	8514
177	4685	8476
178	4704	8437
179	4723	8396
180	4742	8358
181	4764	8324
182	4785	8289
183	4809	8258
184	4840	8242
185	4887	8251
186	4915	8228
187	4943	8204
188	4970	8178
189	5001	8160
190	5028	8135
191	5047	8097
192	5068	8061
193	5086	8022
194	5105	7985
195	5125	7949
196	5145	7913
197	5163	7875
198	5181	7837
199	5199	7799
200	5219	7763
201	5239	7729
202	5257	7692
203	5277	7657
204	5297	7622
205	5317	7589
206	5335	7552
207	5354	7516
208	5373	7481
209	5396	7451
210	5415	7416
211	5434	7382
212	5453	7347
213	5471	7311
214	5490	7278
215	5510	7245
216	5530	7212
217	5547	7176
218	5567	7143
219	5586	7109
220	5613	7086
221	5648	7073
222	5669	7042
223	5687	7008
224	5707	6975
225	5727	6943
226	5746	6911
227	5766	6879
228	5790	6852
229	5813	6824
230	5832	6792
231	5857	6766
232	5879	6737
233	5899	6706
234	5919	6675
235	5944	6649
236	5968	6623
237	5991	6595
238	6010	6563
239	6030	6533
240	6051	6503
241	6074	6476
242	6092	6443
243	6112	6412
244	6131	6381
245	6149	6349
246	6168	6318
247	6192	6292
248	6213	6263
249	6238	6238
250	6257	6207
251	6277	6177
252	6294	6145
253	6313	6114
254	6333	6084
255	6354	6056
256	6377	6029
257	6397	6001
258	6423	5976
259	6445	5950
260	6467	5922
261	6487	5892
262	6505	5861
263	6524	5832
264	6545	5804
265	6565	5775
266	6585	5747
267	6604	5717
268	6623	5687
269	6644	5660
270	6664	5631
271	6685	5604
272	6705	5575
273	6725	5547
274	6746	5520
275	6764	5490
276	6786	5463
277	6805	5434
278	6824	5405
279	6847	5380
280	6869	5353
281	6890	5326
282	6908	5297
283	6930	5270
284	6950	5243
285	6970	5215
286	6991	5189
287	7011	5161
288	7029	5132
289	7052	5107
290	7071	5078
291	7088	5049
292	7106	5020
293	7126	4993
294	7144	4964
295	7165	4938
296	7182	4909
297	7200	4881
298	7223	4855
299	7241	4827
300	7264	4802
301	7282	4774
302	7301	4747
303	7320	4719
304	7337	4691
305	7355	4663
306	7374	4636
307	7393	4608
308	7411	4581
309	7429	4553
310	7452	4528
311	7469	4500
312	7488	4474
313	7505	4445
314	7522	4418
315	7541	4391
316	7563	4366
317	7581	4339
318	7601	4312
319	7618	4285
320	7636	4258
321	7657	4233
322	7678	4207
323	7697	4181
324	7715	4154
325	7735	4128
326	7755	4103
327	7772	4075
328	7790	4049
329	7807	4022
330	7829	3997
331	7848	3971
332	7867	3945
333	7884	3918
334	7902	3892
335	7922	3866
336	7944	3842
337	7964	3817
338	7984	3791
339	8002	3765
340	8020	3739
341	8045	3716
342	8069	3693
343	8094	3670
344	8119	3647
345	8144	3625
346	8166	3600
347	8189	3576
348	8208	3551
349	8229	3527
350	8249	3501
351	8269	3476
352	8285	3450
353	8306	3426
354	8326	3401
355	8345	3375
356	8368	3352
357	8389	3327
358	8406	3301
359	8425	3276
360	8446	3252
361	8466	3227
362	8484	3202
363	8501	3176
364	8517	3150
365	8540	3126
366	8564	3103
367	8591	3081
368	8610	3056
369	8632	3033
370	8655	3009
371	8673	2984
372	8692	2959
373	8712	2935
374	8731	2910
375	8748	2885
376	8765	2859
377	8783	2834
378	8802	2810
379	8822	2786
380	8844	2762
381	8863	2737
382	8884	2713
383	8905	2690
384	8925	2665
385	8943	2641
386	8965	2617
387	8989	2594
388	9006	2570
389	9024	2545
390	9043	2521
391	9062	2496
392	9082	2472
393	9102	2448
394	9121	2424
395	9138	2399
396	9158	2376
397	9177	2352
398	9197	2328
399	9220	2305
400	9241	2281
401	9258	2257
402	9277	2232
403	9301	2210
404	9326	2187
405	9355	2166
406	9381	2143
407	9407	2121
408	9429	2097
409	9450	2074
410	9472	2051
411	9489	2026
412	9510	2003
413	9529	1979
414	9551	1956
415	9569	1932
416	9589	1908
417	9607	1884
418	9628	1861
419	9651	1838
420	9669	1814
421	9688	1790
422	9712	1768
423	9743	1746
424	9765	1723
425	9784	1699
426	9802	1675
427	9822	1652
428	9841	1628
429	9862	1605
430	9884	1582
431	9902	1558
432	9922	1535
433	9942	1511
434	9959	1488
435	9978	1464
436	9997	1441
437	10018	1418
438	10040	1395
439	10060	1371
440	10076	1348
441	10095	1324
442	10116	1301
443	10134	1278
444	10154	1255
445	10173	1231
446	10195	1208
447	10214	1185
448	10234	1162
449	10256	1139
450	10274	1116
451	10292	1093
452	10314	1070
453	10332	1046
454	10351	1023
455	10369	1000
456	10389	977
457	10406	954
458	10423	931
459	10444	908
460	10462	885
461	10481	862
462	10499	839
463	10516	815
464	10536	793
465	10555	770
466	10574	747
467	10596	724
468	10612	701
469	10633	678
470	10652	655
471	10668	632
472	10687	610
473	10704	587
474	10725	564
475	10740	541
476	10760	518
477	10777	496
478	10794	473
479	10812	450
480	10831	427
481	10855	405
482	10875	382
483	10894	360
484	10912	337
485	10931	314
486	10949	292
487	10970	269
488	10991	247
489	11009	224
490	11028	202
491	11048	179
492	11067	157
493	11086	134
494	11104	112
495	11124	89
496	11143	67
497	11164	44
498	11186	22
499	11205	0
